date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:20	19511/19511	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2021:49:27%20GMT	https://evmportal-resolve.com/	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/index.html	(from )
14:53:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2013:53:18%20GMT	https://evmportal-resolve.com/robots.txt		(from )
14:53:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2013:53:19%20GMT	https://evmportal-resolve.com/assets/img/cta-img-with-bg.png	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/img/cta-img-with-bg.png	(from https://evmportal-resolve.com/)
14:53:23	1740/1740	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202024%2021:53:56%20GMT	https://evmportal-resolve.com/assets/css/plugins/slick.css	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/css/plugins/slick.css	(from https://evmportal-resolve.com/)
14:53:23	3889/3889	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202024%2021:53:13%20GMT	https://evmportal-resolve.com/assets/css/app.css	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/css/app.css	(from https://evmportal-resolve.com/)
14:53:24	206850/206850	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202024%2021:53:56%20GMT	https://evmportal-resolve.com/assets/css/plugins/bootstrap.min.css	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/css/plugins/bootstrap.min.css	(from https://evmportal-resolve.com/)
14:53:25	19335/19335	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202024%2021:53:14%20GMT	https://evmportal-resolve.com/assets/css/select2.min.css	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/css/select2.min.css	(from https://evmportal-resolve.com/)
14:53:25	160134/160134	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202024%2021:53:16%20GMT	https://evmportal-resolve.com/assets/css/style.css	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/css/style.css	(from https://evmportal-resolve.com/)
14:53:25	113/113	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2021:58:09%20GMT	https://evmportal-resolve.com/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/css/toastr.min.html	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/css/toastr.min.html	(from https://evmportal-resolve.com/)
14:53:25	76521/76521	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202024%2021:53:56%20GMT	https://evmportal-resolve.com/assets/css/plugins/fontawesome.min.css	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/css/plugins/fontawesome.min.css	(from https://evmportal-resolve.com/)
14:53:26	94/94	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202024%2022:05:28%20GMT	https://evmportal-resolve.com/unpkg.com/flowbite%401.5.3/dist/flowbite.min.css	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/unpkg.com/flowbite@1.5.3/dist/flowbite.min.css	(from https://evmportal-resolve.com/)
14:53:27	51791/51791	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Jun%202024%2021:54:34%20GMT	https://evmportal-resolve.com/assets/img/hero_bg4.png	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/img/hero_bg4.png	(from https://evmportal-resolve.com/)
14:53:28	106166/106166	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2021:59:38%20GMT	https://evmportal-resolve.com/collab-server/index.html	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/collab-server/index.html	(from https://evmportal-resolve.com/)
14:53:29	51018/51018	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Jun%202024%2021:56:01%20GMT	https://evmportal-resolve.com/assets/js/plugins/isotope.pkg.min.js	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/js/plugins/isotope.pkg.min.js	(from https://evmportal-resolve.com/)
14:53:29	18054/18054	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Jun%202024%2021:55:20%20GMT	https://evmportal-resolve.com/assets/js/main.js	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/js/main.js	(from https://evmportal-resolve.com/)
14:53:29	55289/55289	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Jun%202024%2021:56:02%20GMT	https://evmportal-resolve.com/assets/js/plugins/jquery.slick.min.js	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/js/plugins/jquery.slick.min.js	(from https://evmportal-resolve.com/)
14:53:30	14831/14831	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2021:57:50%20GMT	https://evmportal-resolve.com/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.html	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.html	(from https://evmportal-resolve.com/)
14:53:30	150945/150945	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Jun%202024%2021:56:04%20GMT	https://evmportal-resolve.com/assets/js/plugins/jquery-3.6.0.min.js	C:/Users/Staff/Desktop/chinko2/evmportal-resolve.com/assets/js/plugins/jquery-3.6.0.min.js	(from https://evmportal-resolve.com/)
